diameter_km,lon,lat,tag
6.88169806237,95.9524081903,25.020823501,standard
8.5752588639,93.8068530644,24.4107237876,standard
7.69637489961,93.0334552865,24.5241252213,standard
6.55374284662,90.6374188539,22.3587832543,standard
7.22371025469,90.2079907251,20.0124875362,standard
11.8909026264,91.9983118611,22.3401124661,standard
5.14936198793,91.4693061952,22.2239386728,standard
9.18725202218,92.8986587591,20.5788347785,standard
7.22873468621,92.0875167381,19.9544006395,standard
6.54897228579,93.3923973807,20.0643508367,standard
6.69845939179,92.1953924033,22.9002361124,standard
10.6460174793,94.4151416681,23.1823724675,standard
8.00988555994,94.7097252153,23.4894032069,standard
11.2627977567,95.213836497,22.8774162601,standard
10.471935703,95.7822582713,22.3587832543,standard
13.7804356302,94.7263214715,22.060050643,standard
9.6544287816,93.4359625531,22.7010810382,standard
6.70925405726,94.6723836389,20.9169834983,standard
6.32481126139,96.5747295042,20.9667722668,standard
6.70923801647,97.6700824124,21.2281633017,standard
6.72440582419,98.3173364036,24.0038871487,standard
15.5701445815,98.6368143352,19.1225132982,standard
6.41276347709,98.7529881284,19.5685376832,standard
6.62849313958,98.5413858621,19.7241275849,standard
6.51095005653,97.456405614,18.7719173863,standard
9.31950786067,95.1702713245,18.738724874,standard
6.24306285979,94.771961176,18.4316941345,standard
7.00074404804,98.3463798519,17.0873973835,standard
5.14027655534,93.4297389571,20.2427605907,standard
9.3237405626,93.0563231929,18.4254705385,standard
5.55299750595,94.143377973,17.581136005,standard
5.39007043163,91.7410698902,18.8901657116,standard
5.76450874516,91.1539773277,18.7553211301,standard
7.11556209269,90.1312330403,12.7101348147,standard
7.55992789202,91.6518650132,12.4881598882,standard
7.52518101334,92.3655040292,13.6187798408,standard
6.25963407418,93.2803726514,15.2327657548,standard
5.20719362468,94.321787727,13.7681461465,standard
5.33187333218,94.585253294,13.5046805796,standard
6.78876088896,94.8258990086,13.3926558503,standard
5.23504352351,96.2656242327,15.5999579229,standard
9.19612386323,96.2531770406,14.2681083641,standard
10.5565912018,96.562282312,13.1976498401,standard
5.88648381617,96.6369654648,13.2038734362,standard
6.74682319986,97.0705426577,14.5149776748,standard
6.7916094979,97.4169895055,16.145559845,standard
5.19971539363,97.902429999,15.1062193014,standard
6.67309837674,98.8235222172,15.3012253116,standard
5.65398539729,97.2862939881,14.6435986603,standard
5.06744965007,98.2281315266,17.7139060545,standard
5.29890215624,95.9648170893,12.7122093467,standard
12.0753230166,94.2408809781,12.1603838286,standard
5.33781137023,90.2799915221,11.4000933171,standard
5.17649152209,90.4757155965,10.3763058512,standard
5.99654538107,92.0237150936,11.5397006988,standard
5.06865384445,91.875895513,10.3489318548,standard
5.07995869387,91.2257630982,10.3393509561,standard
5.33442274232,93.8331362566,11.5355945994,standard
9.1351782218,96.3282760297,10.4597965403,standard
5.7225337656,98.707076318,10.0464491945,standard
5.53116334663,97.6449652572,8.49297489798,standard
9.58083257826,94.379247485,7.76072049392,standard
6.35052497341,94.8801916194,7.49108662924,standard
6.05119636396,95.318175562,7.02846608985,standard
9.8057717462,93.73048377,8.02898565877,standard
6.33145838658,93.4211576106,7.355585347,standard
6.52044223388,92.2974550578,8.10426414891,standard
12.5019597843,91.3968505758,7.70597250109,standard
6.08853239497,91.5829937514,7.43223253695,standard
8.32861576559,91.6131051474,7.19544746798,standard
5.05154909437,91.295566789,6.91760140438,standard
6.58867304625,90.2394529778,4.92614629514,standard
5.42931622108,91.1726362738,5.75724221795,standard
6.70526721786,91.7498225761,6.07528364982,standard
5.29384319527,90.9959465894,5.47846516038,standard
6.96926709016,91.8872478862,5.04786585549,standard
5.64698890381,93.3701324225,6.46923620535,standard
8.62312258502,93.8046581648,5.04001298063,standard
15.7285068253,96.9301023595,5.66300771961,standard
5.17782265414,96.7625743625,5.13293866649,standard
6.34722922459,97.5046710368,5.98104915149,standard
5.92603459349,98.9522176362,5.95879933938,standard
18.0775231247,97.6434051594,6.32003158299,standard
9.69688405164,98.3658696466,4.81227960966,standard
6.30827639891,97.2442173539,4.42879755394,standard
5.32574935798,96.6932073012,4.170961496,standard
7.63048245501,97.3279813525,3.69455375442,standard
10.7228211284,94.1973019078,3.95238981236,standard
5.01127357029,92.2497889423,3.97333081199,standard
6.96878715779,93.6345125428,0.66727049546,standard
13.1399884845,95.0414859554,2.50091677553,standard
12.3125283868,95.5218201344,2.30590371648,standard
9.83860338571,95.1422645161,1.19995717354,standard
5.18844167251,94.9695012692,1.00101767706,standard
12.1867162624,96.4392976807,1.50229285569,standard
